company|title|location|link
databricks|software engineer - new grad (2025 start)|aarhus, central denmark region, denmark|https://www.linkedin.com/jobs/view/4179627139
whatnot|software engineer, 2025 new grad|dublin, county dublin, ireland|https://www.linkedin.com/jobs/view/4149260099
databricks|software engineer - new grad (2025 start)|amsterdam, north holland, netherlands|https://www.linkedin.com/jobs/view/4023888460
whatnot|ads software engineer, 2025 new grad|cracow, małopolskie, poland|https://www.linkedin.com/jobs/view/4157526667
motorola solutions|graduate software engineer|glasgow, scotland, united kingdom|https://www.linkedin.com/jobs/view/4182660940
amazon|2025 graduate software dev engineer|graz, styria, austria|https://www.linkedin.com/jobs/view/4194247733
canonical|graduate software engineer, open source and linux, canonical ubuntu|vienna, vienna, austria|https://www.linkedin.com/jobs/view/4180962288
canonical|software engineer - python - ubuntu pro client - graduate level|vienna, vienna, austria|https://www.linkedin.com/jobs/view/4180688711
kbc bank & verzekering|software engineer young graduate|flemish region, belgium|https://www.linkedin.com/jobs/view/4157159641
barco|software engineer, early career, graduate|kortrijk, flemish region, belgium|https://www.linkedin.com/jobs/view/4195043984
barco entertainment - immersive experiences|software engineer, early career, graduate|kortrijk, flemish region, belgium|https://www.linkedin.com/jobs/view/4209708238
effixis, an artefact company|graduate systems software engineer|brussels, brussels region, belgium|https://www.linkedin.com/jobs/view/4188115986
canonical|software engineer - python - ubuntu pro client - graduate level|antwerp, flemish region, belgium|https://www.linkedin.com/jobs/view/4180689664
canonical|graduate software engineer, open source and linux, canonical ubuntu|antwerp, flemish region, belgium|https://www.linkedin.com/jobs/view/4180961259
canonical|software engineer - python - ubuntu pro client - graduate level|sofia, sofia city, worldwide|https://www.linkedin.com/jobs/view/4180689674
uber|graduate 2025, software engineer ii, phd, aarhus|aarhus, central denmark region, denmark|https://www.linkedin.com/jobs/view/4196705852
itm8|graduate i vores custom software-afdeling|copenhagen municipality, capital region of denmark, denmark|https://www.linkedin.com/jobs/view/4208090093
canonical|graduate software engineer, open source and linux, canonical ubuntu|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4180960343
canonical|software engineer - python - ubuntu pro client - graduate level|tallinn, harjumaa, worldwide|https://www.linkedin.com/jobs/view/4180694372
canonical|graduate software engineer, open source and linux, canonical ubuntu|helsinki, uusimaa, finland|https://www.linkedin.com/jobs/view/4180964020
canonical|software engineer - python - ubuntu pro client - graduate level|helsinki, uusimaa, finland|https://www.linkedin.com/jobs/view/4180693433
capgemini|ignite graduate program: junior software engineers, junior devops engineers & junior integration developers|helsinki, uusimaa, finland|https://www.linkedin.com/jobs/view/4207801844
